accuracy@1,accuracy@5,accuracy@10
assertj-2685,Apktool-3113,Apktool-3113
checkstyle-10958,assertj-2685,assertj-2685
checkstyle-10963,checkstyle-10958,checkstyle-10958
checkstyle-10967,checkstyle-10963,checkstyle-10963
checkstyle-11020,checkstyle-10967,checkstyle-10967
checkstyle-11085,checkstyle-11020,checkstyle-11020
checkstyle-11270,checkstyle-11085,checkstyle-11085
checkstyle-11383,checkstyle-11270,checkstyle-11270
checkstyle-11468,checkstyle-11383,checkstyle-11383
checkstyle-14978,checkstyle-11468,checkstyle-11468
checkstyle-15092,checkstyle-12831,checkstyle-12372
checkstyle-15153,checkstyle-14497,checkstyle-12831
checkstyle-15154,checkstyle-14978,checkstyle-14497
gson-2061,checkstyle-15092,checkstyle-14978
gson-2153,checkstyle-15153,checkstyle-15092
gson-2214,checkstyle-15154,checkstyle-15153
gson-2376,checkstyle-15175,checkstyle-15154
gson-2410,checkstyle-15492,checkstyle-15175
jackson-core-923,checkstyle-16646,checkstyle-15492
jackson-core-1053,gson-2060,checkstyle-16252
jackson-databind-4050,gson-2061,checkstyle-16458
jsoup-1763,gson-2130,checkstyle-16646
nacos-9080,gson-2153,dubbo-11561
nacos-10755,gson-2214,gson-2060
nacos-10958,gson-2376,gson-2061
openapi-generator-21459,gson-2410,gson-2130
openapi-generator-21480,gson-2420,gson-2153
rocketmq-4071,jackson-core-883,gson-2158
rocketmq-6184,jackson-core-923,gson-2214
rocketmq-8054,jackson-core-1053,gson-2364
rocketmq-8585,jackson-databind-3418,gson-2376
rocketmq-8807,jackson-databind-4050,gson-2410
rocketmq-9444,jsoup-1763,gson-2420
rocketmq-9480,jsoup-1871,jackson-core-883
seata-4056,jsoup-2010,jackson-core-923
sslcontext-kickstart-122,nacos-8202,jackson-core-1053
sslcontext-kickstart-203,nacos-9080,jackson-databind-3418
sslcontext-kickstart-234,nacos-9239,jackson-databind-3962
sslcontext-kickstart-505,nacos-10755,jackson-databind-4050
,nacos-10958,jackson-databind-4684
,openapi-generator-17759,jsoup-1763
,openapi-generator-21459,jsoup-1871
,openapi-generator-21480,jsoup-2010
,retrofit-3759,nacos-8202
,rocketmq-4071,nacos-9080
,rocketmq-4457,nacos-9239
,rocketmq-4569,nacos-10755
,rocketmq-6184,nacos-10958
,rocketmq-6909,openapi-generator-13996
,rocketmq-7073,openapi-generator-14433
,rocketmq-7863,openapi-generator-17759
,rocketmq-7960,openapi-generator-21459
,rocketmq-8027,openapi-generator-21480
,rocketmq-8054,retrofit-3759
,rocketmq-8099,rocketmq-4071
,rocketmq-8404,rocketmq-4457
,rocketmq-8585,rocketmq-4569
,rocketmq-8484,rocketmq-5286
,rocketmq-8654,rocketmq-6124
,rocketmq-8807,rocketmq-6184
,rocketmq-9107,rocketmq-6909
,rocketmq-9214,rocketmq-7027
,rocketmq-9444,rocketmq-7073
,rocketmq-9480,rocketmq-7863
,seata-4056,rocketmq-7960
,sslcontext-kickstart-122,rocketmq-7964
,sslcontext-kickstart-167,rocketmq-8027
,sslcontext-kickstart-197,rocketmq-8054
,sslcontext-kickstart-203,rocketmq-8099
,sslcontext-kickstart-234,rocketmq-8404
,sslcontext-kickstart-505,rocketmq-8585
,,rocketmq-8484
,,rocketmq-8654
,,rocketmq-8766
,,rocketmq-8807
,,rocketmq-9107
,,rocketmq-9214
,,rocketmq-9334
,,rocketmq-9444
,,rocketmq-9480
,,seata-4056
,,sslcontext-kickstart-122
,,sslcontext-kickstart-167
,,sslcontext-kickstart-197
,,sslcontext-kickstart-203
,,sslcontext-kickstart-234
,,sslcontext-kickstart-505
