accuracy@1,accuracy@5,accuracy@10
assertj-2685,Apktool-3113,Apktool-3113
checkstyle-10958,assertj-2364,assertj-2364
checkstyle-10967,assertj-2685,assertj-2685
checkstyle-11020,checkstyle-10958,checkstyle-10958
checkstyle-11085,checkstyle-10963,checkstyle-10963
checkstyle-11383,checkstyle-10967,checkstyle-10967
checkstyle-11468,checkstyle-11020,checkstyle-11020
checkstyle-14978,checkstyle-11085,checkstyle-11085
checkstyle-15092,checkstyle-11270,checkstyle-11270
checkstyle-15153,checkstyle-11383,checkstyle-11383
checkstyle-15154,checkstyle-11468,checkstyle-11468
gson-2061,checkstyle-12372,checkstyle-12372
gson-2153,checkstyle-12831,checkstyle-12831
gson-2214,checkstyle-14497,checkstyle-14497
gson-2376,checkstyle-14978,checkstyle-14978
gson-2410,checkstyle-15092,checkstyle-15092
jackson-core-1053,checkstyle-15153,checkstyle-15153
jackson-databind-3962,checkstyle-15154,checkstyle-15154
jackson-databind-4050,checkstyle-15175,checkstyle-15175
jsoup-1763,checkstyle-15492,checkstyle-15492
nacos-9080,checkstyle-16646,checkstyle-16252
nacos-10755,gson-2060,checkstyle-16458
nacos-10958,gson-2061,checkstyle-16646
openapi-generator-21459,gson-2130,dubbo-11561
rocketmq-4071,gson-2153,gson-2060
rocketmq-6184,gson-2214,gson-2061
rocketmq-8585,gson-2376,gson-2130
rocketmq-8484,gson-2410,gson-2153
rocketmq-8807,jackson-core-883,gson-2158
rocketmq-9444,jackson-core-1053,gson-2214
rocketmq-9480,jackson-databind-3418,gson-2364
seata-4056,jackson-databind-3962,gson-2376
sslcontext-kickstart-122,jackson-databind-4050,gson-2410
sslcontext-kickstart-203,jsoup-1763,jackson-core-883
sslcontext-kickstart-234,jsoup-2010,jackson-core-1053
sslcontext-kickstart-505,nacos-8202,jackson-databind-3418
,nacos-9080,jackson-databind-3962
,nacos-9239,jackson-databind-4050
,nacos-10755,jsoup-1763
,nacos-10958,jsoup-1871
,openapi-generator-17759,jsoup-2010
,openapi-generator-20109,nacos-8202
,openapi-generator-21459,nacos-9080
,rocketmq-4071,nacos-9239
,rocketmq-4457,nacos-10755
,rocketmq-4569,nacos-10958
,rocketmq-6184,openapi-generator-14433
,rocketmq-6909,openapi-generator-17759
,rocketmq-7073,openapi-generator-18478
,rocketmq-7960,openapi-generator-20109
,rocketmq-8027,openapi-generator-21459
,rocketmq-8054,retrofit-3759
,rocketmq-8099,rocketmq-4071
,rocketmq-8404,rocketmq-4457
,rocketmq-8585,rocketmq-4569
,rocketmq-8484,rocketmq-5286
,rocketmq-8654,rocketmq-6124
,rocketmq-8807,rocketmq-6184
,rocketmq-9107,rocketmq-6909
,rocketmq-9214,rocketmq-7027
,rocketmq-9444,rocketmq-7073
,rocketmq-9480,rocketmq-7863
,seata-4056,rocketmq-7960
,sslcontext-kickstart-122,rocketmq-7964
,sslcontext-kickstart-167,rocketmq-8027
,sslcontext-kickstart-197,rocketmq-8054
,sslcontext-kickstart-203,rocketmq-8099
,sslcontext-kickstart-234,rocketmq-8404
,sslcontext-kickstart-505,rocketmq-8585
,,rocketmq-8484
,,rocketmq-8654
,,rocketmq-8766
,,rocketmq-8807
,,rocketmq-9107
,,rocketmq-9214
,,rocketmq-9334
,,rocketmq-9444
,,rocketmq-9480
,,seata-4056
,,sslcontext-kickstart-122
,,sslcontext-kickstart-167
,,sslcontext-kickstart-197
,,sslcontext-kickstart-203
,,sslcontext-kickstart-234
,,sslcontext-kickstart-505
